conversionOrExercisePrice,directIndirect,effectiveDate,filingDate,is10b51,postShares,symbol,transactionCode,transactionDate,transactionPrice,transactionShares,transactionValue,id,subkey,updated,tranPrice,tranShares,tranValue
,D,2021-07-29 04:11:27.252,2019-12-27,False,890075,AAPL,G,2019-12-24,,-7196,,RSNDAITISCAETRNNO_IS,20332-0900200000001-,2021-03-11 05:15:59.760,,-7099,
,D,2022-04-26 23:20:43.573,2020-01-22,False,0,AAPL,M,2020-01-21,,1499,,DNTSRCIASSAIRTINOEN_,0-30000102020003-923,2021-12-14 21:19:24.244,,1495,
,D,2020-10-23 09:18:36.185,2020-02-18,False,883,AAPL,A,2020-02-22,,887,,SSATRCOID_ISTRNANNEI,02-3000009003500231-,2023-05-25 01:27:35.545,,891,
,D,2022-06-17 15:24:57.943,2020-02-23,False,893,AAPL,A,2020-02-19,,870,,TSAIOINNTSRNCE_ISRDA,0201209030-002-30003,2023-04-08 22:40:40.154,,894,
,D,2022-03-30 01:18:17.988,2020-02-15,False,876,AAPL,A,2020-02-17,,868,,NSCSART_ARSDENITNOII,92123300-000033-0000,2021-06-09 10:15:34.213,,894,
,D,2020-04-18 05:20:54.432,2020-03-28,False,154237,AAPL,F,2020-03-18,242.57,-46433,10850216.0,ISITS_NOEDARTNSANRCI,0220019-00339-300000,2021-07-15 11:07:55.879,249.02,-45804,11053128.0
,D,2021-04-23 06:57:27.720,2020-03-22,False,0,AAPL,M,2020-04-01,,37650,,CAROTEN_SISSNNIIRDAT,30338-090000-2001002,2021-09-02 01:22:14.533,,37047,
,D,2022-09-02 07:22:10.190,2020-04-01,False,149643,AAPL,S,2020-04-01,247.62,-4037,959483.0,R_SSINATRCIAONSEDTIN,03-31000200-09003092,2022-07-03 05:23:56.433,245.91,-3935,959490.0
,D,2021-10-11 06:22:50.576,2020-04-02,False,41784,AAPL,S,2020-03-26,273.23,-8910,2308778.0,NAETRSANSIIOTSRC_DNI,040-0-13009002000321,2022-12-04 02:20:06.436,277.88,-8854,2364203.0
,D,2022-09-28 22:33:54.875,2020-04-08,False,17128,AAPL,M,2020-04-15,,5697,,RINNAOESTTNICISDASR_,-5000-20004000339210,2020-12-23 02:58:21.440,,5753,
