price,size,timestamp
124.165,145,1614182610060
124.2,11,1614182608917
124.2,35,1614182608648
124.23,1,1614182608363
124.23,200,1614182608264
124.19,4,1614182605240
124.18,100,1614182603978
124.22,100,1614182601847
124.16,100,1614182591010
124.16,1,1614182590549
124.155,22,1614182590257
124.15,200,1614182589662
124.185,100,1614182589132
124.215,100,1614182587170
124.215,200,1614182586225
124.21,273,1614182585211
124.21,27,1614182585127
124.22,300,1614182584509
124.42,100,1614183225132
124.41,300,1614183212400
124.42,100,1614183209427
124.42,1,1614183208484
124.41,300,1614183207057
124.37,100,1614183198366
124.37,1,1614183197790
124.38,1,1614183196923
124.4,100,1614183196391
124.41,50,1614183195671
124.39,100,1614183188492
124.4,1,1614183187689
124.41,100,1614183186604
124.41,44,1614183185798
124.4,100,1614183179421
124.4,120,1614183174597
124.4,100,1614183174596
124.37,86,1614183168455
124.73,50,1614184062992
124.73,50,1614184062168
124.7,288,1614184057547
124.75,9,1614184051816
124.72,50,1614184038084
124.71,84,1614184034971
124.73,8,1614184033193
124.71,100,1614184032317
124.71,100,1614184032308
124.71,37,1614184030601
124.71,300,1614184030600
124.74,15,1614184029614
124.73,300,1614184029554
124.745,300,1614184029539
124.755,484,1614184029492
124.77,293,1614184029104
124.755,5,1614184029063
124.785,100,1614184027244
124.78,5,1614184026569
124.78,5,1614184026346
124.6,100,1614184276718
124.63,100,1614184273558
124.63,300,1614184273179
124.61,100,1614184269348
124.61,100,1614184267564
124.64,46,1614184263395
124.65,40,1614184261886
124.65,100,1614184260521
124.64,297,1614184260502
124.625,300,1614184259017
124.625,200,1614184259016
124.62,100,1614184258196
124.61,200,1614184256677
124.61,1,1614184256620
124.63,300,1614184256555
124.635,200,1614184255618
124.64,14,1614184253517
124.65,20,1614184233842
124.65,300,1614184233834
124.33,500,1614185104655
124.325,200,1614185104409
124.25,1,1614185100197
124.235,100,1614185092580
124.16,100,1614185078988
124.17,100,1614185078977
124.18,100,1614185078974
124.21,300,1614185078925
124.195,100,1614185073229
124.195,100,1614185072248
124.2,100,1614185072240
124.2,300,1614185072240
124.23,72,1614185062479
124.22,100,1614185062431
124.29,300,1614185056818
124.305,243,1614185055158
124.305,100,1614185055155
124.3,100,1614185054185
124.3,100,1614185054181
124.28,92,1614185051979
124.28,8,1614185051978
124.45,300,1614185224050
124.455,300,1614185224040
124.39,100,1614185220897
124.41,100,1614185212052
124.41,100,1614185212052
124.395,1,1614185202064
124.33,18,1614185187463
124.32,2,1614185173701
124.3,98,1614185170964
124.31,100,1614185169730
124.275,400,1614185167880
124.26,100,1614185161825
124.26,300,1614185161804
124.24,100,1614185155335
124.24,200,1614185155335
124.26,100,1614185149698
124.26,100,1614185143483
124.26,100,1614185143483
124.27,100,1614185143180
124.27,100,1614185143179
124.27,1,1614185143173
124.28,4,1614185141970
124.65,100,1614185330138
124.65,100,1614185330115
124.65,100,1614185330115
124.65,100,1614185329863
124.65,69,1614185329863
124.66,300,1614185327852
124.66,300,1614185327669
124.65,300,1614185325852
124.65,300,1614185325075
124.615,99,1614185323716
124.615,1,1614185322563
124.61,124,1614185320753
124.58,100,1614185317863
124.58,99,1614185314234
124.58,100,1614185313720
124.56,2,1614185313664
124.56,98,1614185313633
124.57,1,1614185302161
124.55,300,1614185301043
124.555,100,1614185292289
124.55,300,1614185284770
124.54,100,1614185283191
124.52,3,1614185282420
124.83,1,1614185542046
124.83,61,1614185541975
124.835,261,1614185535799
124.84,100,1614185535675
124.86,100,1614185532017
124.86,100,1614185531926
124.86,100,1614185531817
124.865,261,1614185531629
124.86,20,1614185531553
124.88,100,1614185530121
124.85,261,1614185528886
124.855,200,1614185528140
124.85,100,1614185527807
124.86,100,1614185522841
124.845,100,1614185520908
124.86,100,1614185520495
124.855,2,1614185519715
124.885,12,1614185518159
124.89,100,1614185512862
124.89,100,1614185512045
124.86,100,1614185660162
124.86,100,1614185656238
124.86,100,1614185652119
124.86,100,1614185650575
124.85,100,1614185645512
124.85,100,1614185645070
124.85,16,1614185644866
124.83,100,1614185642670
124.85,100,1614185641300
124.85,100,1614185635986
