Name,Price,Volume,Last updated
Bitcoin,16866.360753443947,48467769388.66095,2020-11-27T12:14:02.000Z
Ethereum,508.6773198835384,20356903922.908173,2020-11-27T12:14:02.000Z
XRP,0.53245824398719,20954929449.60158,2020-11-27T12:15:03.000Z
Tether,1.0012902494302,85873225432.41347,2020-11-27T12:14:07.000Z
Bitcoin Cash,263.95419123574186,3577413496.393892,2020-11-27T12:14:06.000Z
Chainlink,12.29372815829837,2301069423.564301,2020-11-27T12:14:08.000Z
Litecoin,67.74602934578265,7597740283.131318,2020-11-27T12:15:02.000Z
Cardano,0.13525300990963,1998273000.579093,2020-11-27T12:14:08.000Z
Polkadot,4.72020001708168,1079800861.0615292,2020-11-27T12:15:05.000Z
Binance Coin,27.75284008300964,456726284.5507517,2020-11-27T12:14:06.000Z
Stellar,0.18602541963292,2185314911.44947,2020-11-27T12:15:06.000Z
Bitcoin SV,160.6237263556531,1073303747.5861231,2020-11-27T12:15:06.000Z
USD Coin,1.00059595326702,724764097.8687515,2020-11-27T12:15:05.000Z
EOS,2.83002634004211,5113300338.12048,2020-11-27T12:14:06.000Z
Wrapped Bitcoin,16841.959671297405,64233733.1651063,2020-11-27T12:14:06.000Z
TRON,0.028537740909,1560287235.87523,2020-11-27T12:14:06.000Z
Monero,114.66762140740278,1822496284.278824,2020-11-27T12:15:05.000Z
Tezos,2.25300426117303,397759782.9900269,2020-11-27T12:14:07.000Z
NEM,0.16094763265858,76481668.15952799,2020-11-27T12:14:06.000Z
Crypto.com Coin,0.06242151220866,59796392.83502212,2020-11-27T12:15:06.000Z
UNUS SED LEO,1.32858500432183,17412887.68914995,2020-11-27T12:14:06.000Z
Filecoin,29.6722347938614,166491408.6663497,2020-11-27T12:15:04.000Z
Neo,16.5420435275996,887131812.5632087,2020-11-27T12:15:05.000Z
Cosmos,5.24936571400007,303485893.22536236,2020-11-27T12:14:06.000Z
Dai,1.00329249016964,149704803.3275882,2020-11-27T12:14:06.000Z
VeChain,0.01416831656842,224972624.8877546,2020-11-27T12:15:02.000Z
Dash,89.9184085542513,1078776479.3185446,2020-11-27T12:15:03.000Z
IOTA,0.30276554821947,30633833.87693296,2020-11-27T12:14:06.000Z
Huobi Token,4.00443839869319,163035707.841441,2020-11-27T12:15:05.000Z
Uniswap,3.30466519130795,873918472.239916,2020-11-27T12:14:07.000Z
Revain,0.011658533011,1324934.32908526,2020-11-27T12:15:03.000Z
Aave,61.58067072588357,236474660.1018675,2020-11-27T12:15:03.000Z
Zcash,67.78249488862795,862421703.716086,2020-11-27T12:15:06.000Z
yearn.finance,23651.90556926516,779569404.1528068,2020-11-27T12:14:07.000Z
Ethereum Classic,6.06911740183707,1516508896.5410159,2020-11-27T12:15:04.000Z
Waves,6.52066043500327,113703295.19083117,2020-11-27T12:15:04.000Z
Binance USD,1.0,1252944117.3854523,2020-11-27T12:15:06.000Z
THETA,0.58951227801027,16170787.40780848,2020-11-27T12:15:04.000Z
Celsius,2.19903636728606,4541773.93537531,2020-11-27T12:14:05.000Z
Maker,519.5034190718293,61646490.28874737,2020-11-27T12:15:05.000Z
OMG Network,3.4734984817993,321353174.6546244,2020-11-27T12:14:07.000Z
Ontology,0.5397924829067,261447396.94903618,2020-11-27T12:15:06.000Z
Synthetix,4.04952796042458,81292235.36593626,2020-11-27T12:15:05.000Z
Compound,103.13215648852226,134737573.62255728,2020-11-27T12:15:06.000Z
UMA,7.47224690471178,8014380.4814928,2020-11-27T12:15:05.000Z
Dogecoin,0.00317718964696,123892884.49156778,2020-11-27T12:15:03.000Z
Kusama,46.20910893630957,88881686.78841257,2020-11-27T12:14:07.000Z
